0.0.0.0,68,255.255.255.255,67,udp,0.0,342,,0
192.168.50.1,53,192.168.50.154,59352,udp,0.0,181,,0
192.168.50.1,53,192.168.50.154,59385,udp,0.0,209,,0
192.168.50.1,53,192.168.50.154,59422,udp,0.0,312,,0
192.168.50.1,53,192.168.50.154,59459,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,59514,udp,0.0,197,,0
192.168.50.1,53,192.168.50.154,59535,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,59550,udp,0.0,158,,0
192.168.50.1,53,192.168.50.154,59560,udp,9.63023328781128,691,,0
192.168.50.1,53,192.168.50.154,59685,udp,0.0,197,,0
192.168.50.1,53,192.168.50.154,59747,udp,0.0,219,,0
192.168.50.1,53,192.168.50.154,59846,udp,0.0,197,,0
192.168.50.1,53,192.168.50.154,59886,udp,0.0,438,,0
192.168.50.1,53,192.168.50.154,59967,udp,0.0,162,,0
192.168.50.1,53,192.168.50.154,59975,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,59983,udp,0.0,139,,0
192.168.50.1,53,192.168.50.154,59992,udp,0.0,251,,0
192.168.50.1,53,192.168.50.154,59997,udp,0.0,197,,0
192.168.50.1,53,192.168.50.154,60002,udp,0.0,202,,0
192.168.50.1,53,192.168.50.154,60097,udp,0.0,339,,0
192.168.50.1,53,192.168.50.154,60124,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,60181,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,60182,udp,0.0,302,,0
192.168.50.1,53,192.168.50.154,60225,udp,0.0,206,,0
192.168.50.1,53,192.168.50.154,60251,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,60328,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,60361,udp,0.0,302,,0
192.168.50.1,53,192.168.50.154,60384,udp,0.0,152,,0
192.168.50.1,53,192.168.50.154,60446,udp,0.0,107,,0
192.168.50.1,53,192.168.50.154,60469,udp,0.0,302,,0
192.168.50.1,53,192.168.50.154,60525,udp,0.0,283,,0
192.168.50.1,53,192.168.50.154,60645,udp,0.0,220,,0
192.168.50.1,53,192.168.50.154,60705,udp,0.0,283,,0
192.168.50.1,53,192.168.50.154,60758,udp,0.0,161,,0
192.168.50.1,53,192.168.50.154,60796,udp,0.0,224,,0
192.168.50.1,53,192.168.50.154,60828,udp,0.0,206,,0
192.168.50.1,53,192.168.50.154,60857,udp,0.0,251,,0
192.168.50.1,53,192.168.50.154,60929,udp,0.0,197,,0
192.168.50.1,53,192.168.50.154,61031,udp,0.0,90,,0
192.168.50.1,53,192.168.50.154,61134,udp,0.0,268,,0
192.168.50.1,53,192.168.50.154,61137,udp,0.0,139,,0
192.168.50.1,53,192.168.50.154,61174,udp,0.0,159,,0
192.168.50.1,53,192.168.50.154,61227,udp,0.0,175,,0
192.168.50.1,53,192.168.50.154,61244,udp,0.0,206,,0
192.168.50.1,53,192.168.50.154,61315,udp,0.0,90,,0
